country,seasonality,month,unemployment,unemployment_rate
at,nsa,1993-01,171000,4.5
at,nsa,1993-02,175000,4.6
at,nsa,1993-03,166000,4.4
at,nsa,1993-04,157000,4.1
at,nsa,1993-05,147000,3.9
at,nsa,1993-06,134000,3.5
at,nsa,1993-07,128000,3.4
at,nsa,1993-08,130000,3.4
at,nsa,1993-09,132000,3.5
at,nsa,1993-10,141000,3.7
at,nsa,1993-11,156000,4.1
at,nsa,1993-12,169000,4.4
at,nsa,1994-01,180000,4.7
at,nsa,1994-02,180000,4.7
at,nsa,1994-03,164000,4.3
at,nsa,1994-04,152000,4
at,nsa,1994-05,143000,3.8
at,nsa,1994-06,127000,3.4
at,nsa,1994-07,120000,3.2
at,nsa,1994-08,121000,3.2
at,nsa,1994-09,125000,3.3
at,nsa,1994-10,134000,3.5
at,nsa,1994-11,148000,3.9
at,nsa,1994-12,159000,4.2
at,nsa,1995-01,172000,4.5
at,nsa,1995-02,174000,4.5
at,nsa,1995-03,160000,4.2
at,nsa,1995-04,150000,3.9
at,nsa,1995-05,141000,3.7
at,nsa,1995-06,129000,3.4
at,nsa,1995-07,123000,3.3
at,nsa,1995-08,126000,3.4
at,nsa,1995-09,129000,3.5
at,nsa,1995-10,139000,3.7
at,nsa,1995-11,157000,4.2
at,nsa,1995-12,175000,4.7
at,nsa,1996-01,193000,5.1
at,nsa,1996-02,202000,5.3
at,nsa,1996-03,193000,5.1
at,nsa,1996-04,177000,4.7
at,nsa,1996-05,159000,4.3
at,nsa,1996-06,142000,3.8
at,nsa,1996-07,134000,3.6
at,nsa,1996-08,135000,3.6
at,nsa,1996-09,137000,3.7
at,nsa,1996-10,146000,3.9
at,nsa,1996-11,160000,4.3
at,nsa,1996-12,173000,4.6
at,nsa,1997-01,190000,5
at,nsa,1997-02,196000,5.2
at,nsa,1997-03,181000,4.8
at,nsa,1997-04,168000,4.5
at,nsa,1997-05,157000,4.2
at,nsa,1997-06,144000,3.9
at,nsa,1997-07,139000,3.7
at,nsa,1997-08,141000,3.8
at,nsa,1997-09,143000,3.8
at,nsa,1997-10,154000,4.1
at,nsa,1997-11,171000,4.5
at,nsa,1997-12,187000,4.9
at,nsa,1998-01,205000,5.4
at,nsa,1998-02,214000,5.6
at,nsa,1998-03,201000,5.3
at,nsa,1998-04,184000,4.9
at,nsa,1998-05,168000,4.5
at,nsa,1998-06,153000,4.1
at,nsa,1998-07,144000,3.8
at,nsa,1998-08,142000,3.8
at,nsa,1998-09,142000,3.8
at,nsa,1998-10,148000,3.9
at,nsa,1998-11,160000,4.2
at,nsa,1998-12,172000,4.5
at,nsa,1999-01,185000,4.8
at,nsa,1999-02,190000,4.9
at,nsa,1999-03,175000,4.6
at,nsa,1999-04,158000,4.1
at,nsa,1999-05,144000,3.8
at,nsa,1999-06,129000,3.4
at,nsa,1999-07,123000,3.3
at,nsa,1999-08,125000,3.3
at,nsa,1999-09,126000,3.3
at,nsa,1999-10,133000,3.5
at,nsa,1999-11,148000,3.9
at,nsa,1999-12,164000,4.3
at,nsa,2000-01,182000,4.7
at,nsa,2000-02,190000,4.9
at,nsa,2000-03,171000,4.5
at,nsa,2000-04,148000,3.9
at,nsa,2000-05,133000,3.5
at,nsa,2000-06,119000,3.2
at,nsa,2000-07,111000,2.9
at,nsa,2000-08,110000,2.9
at,nsa,2000-09,111000,2.9
at,nsa,2000-10,116000,3.1
at,nsa,2000-11,129000,3.4
at,nsa,2000-12,141000,3.7
at,nsa,2001-01,157000,4.1
at,nsa,2001-02,164000,4.3
at,nsa,2001-03,149000,3.9
at,nsa,2001-04,135000,3.5
at,nsa,2001-05,125000,3.3
at,nsa,2001-06,117000,3.1
at,nsa,2001-07,114000,3
at,nsa,2001-08,118000,3.1
at,nsa,2001-09,123000,3.2
at,nsa,2001-10,132000,3.5
at,nsa,2001-11,150000,3.9
at,nsa,2001-12,173000,4.5
at,nsa,2002-01,196000,5
at,nsa,2002-02,203000,5.2
at,nsa,2002-03,188000,4.8
at,nsa,2002-04,170000,4.4
at,nsa,2002-05,156000,4
at,nsa,2002-06,142000,3.7
at,nsa,2002-07,136000,3.5
at,nsa,2002-08,139000,3.6
at,nsa,2002-09,141000,3.6
at,nsa,2002-10,146000,3.8
at,nsa,2002-11,158000,4.1
at,nsa,2002-12,178000,4.5
at,nsa,2003-01,197000,5
at,nsa,2003-02,199000,5.1
at,nsa,2003-03,183000,4.7
at,nsa,2003-04,165000,4.2
at,nsa,2003-05,154000,4
at,nsa,2003-06,144000,3.7
at,nsa,2003-07,141000,3.7
at,nsa,2003-08,144000,3.7
at,nsa,2003-09,148000,3.9
at,nsa,2003-10,156000,4.1
at,nsa,2003-11,170000,4.4
at,nsa,2003-12,191000,5
at,nsa,2004-01,207000,5.4
at,nsa,2004-02,207000,5.4
at,nsa,2004-03,196000,5.1
at,nsa,2004-04,191000,4.9
at,nsa,2004-05,183000,4.7
at,nsa,2004-06,183000,4.6
at,nsa,2004-07,187000,4.7
at,nsa,2004-08,193000,4.8
at,nsa,2004-09,189000,4.7
at,nsa,2004-10,188000,4.7
at,nsa,2004-11,191000,4.8
at,nsa,2004-12,209000,5.3
at,nsa,2005-01,207000,5.2
at,nsa,2005-02,208000,5.3
at,nsa,2005-03,207000,5.2
at,nsa,2005-04,217000,5.4
at,nsa,2005-05,210000,5.2
at,nsa,2005-06,205000,5.1
at,nsa,2005-07,206000,5
at,nsa,2005-08,210000,5.1
at,nsa,2005-09,202000,4.9
at,nsa,2005-10,198000,4.9
at,nsa,2005-11,200000,4.9
at,nsa,2005-12,224000,5.5
at,nsa,2006-01,231000,5.7
at,nsa,2006-02,226000,5.6
at,nsa,2006-03,215000,5.3
at,nsa,2006-04,205000,5
at,nsa,2006-05,194000,4.7
at,nsa,2006-06,183000,4.4
at,nsa,2006-07,183000,4.4
at,nsa,2006-08,184000,4.4
at,nsa,2006-09,173000,4.1
at,nsa,2006-10,176000,4.3
at,nsa,2006-11,179000,4.3
at,nsa,2006-12,198000,4.8
at,nsa,2007-01,199000,4.8
at,nsa,2007-02,192000,4.6
at,nsa,2007-03,182000,4.4
at,nsa,2007-04,191000,4.6
at,nsa,2007-05,185000,4.4
at,nsa,2007-06,184000,4.3
at,nsa,2007-07,199000,4.7
at,nsa,2007-08,205000,4.8
at,nsa,2007-09,184000,4.3
at,nsa,2007-10,169000,4
at,nsa,2007-11,161000,3.9
at,nsa,2007-12,176000,4.2
at,nsa,2008-01,188000,4.5
at,nsa,2008-02,178000,4.3
at,nsa,2008-03,159000,3.8
at,nsa,2008-04,156000,3.7
at,nsa,2008-05,142000,3.4
