Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,4,17426,20002,Administrator,2,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,5,19546,22478,Administrator,1,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,4,17426,20002,Administrator,8.67,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,5,19546,22478,Administrator,0.5,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6,22507,25884,Administrator,1,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,4,17426,20002,Administrator,4,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,5,19546,22478,Administrator,1,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6,22507,25884,Analyst,3,Statisticians
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,7,26062,29971,Analyst,12.65,Statisticians
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8,31984,36781,Analyst,5.14,Statisticians
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,4,17426,20002,Assistant Analyst,3,Statisticians
Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,12,77959,85792,Associate Director,1,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,12,77959,85792,Associate Director,1,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,12,77959,85792,Associate Director,1,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8,31984,36781,Assurance Adviser,5,Finance
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,10,50936,58577,Assurance Consultant,6,Finance
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8,31984,36781,Board Secretariat,1,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9,41461,47681,Board Secretariat,1,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9,41461,47681,Communications Manager,2.92,Communications
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,5,19546,22478,Communications Support Officer,0.61,Communications
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6,22507,25884,Communications Support Officer,1,Communications
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,7,26062,29971,Communications Support Officer,2.81,Communications
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8,31984,36781,Communications Support Officer,1,Communications
