Category,Requirement Name,Definition,Davide's Comments,Eric's Comments,Jeremy's Comments
3.2.1 Requirements relating to parsing of CSV,R-WellFormedCsvCheck,Ability to determine that a CSV is syntactically well formed,"This requires the CSV file to adhere to the tabular data format defined by Jeni et al. 
I think that this is a crucial requirement, and that is should be accepted. I only wonder whether this might be too strict: what if that format is too strict with respect to an existing CSV file? Should that existing CSV file be just considered as non-conformant?",Recommend Acceptance,Agree.
,R-RightToLeftCsvCheck,Ability to determine that a CSV is using RTL,New,New,New
3.2.2 Requirements relating to applications,R-CsvValidation,Ability to validate a CSV for conformance with a specified metadata definition,"This requirement is also related to R-ExternalDataDefinitionResource, but it adds to the functional part.",Recommend Acceptance,Accept
,R-CsvToRdfTransformation,Ability to automatically transform a CSV into RDF,,Recommend removing.  Is this perhaps a best practice as opposed to a requirement?,Retain this requirement - this underpins the function to be able to transform CSV into a different encoding
,R-CsvToJsonTransformation,Ability to automatically transform a CSV into JSON,,Recommend removing.  Is this perhaps a best practice as opposed to a requirement?,Retain this requirement - this underpins the function to be able to transform CSV into a different encoding
,R-CsvToXmlTransformation,Ability to transform a CSV into XML,New,New,New
,R-CanonicalMappingInLieuOfAnnotation,Ability to transform CSV conforming to the core tabular data model yet lacking further annotation into a object / object graph serialisation,,"This seems to be related to R-CsvToRdfTransformation, R-CsvToJsonTransformation.  If these two are kept does this requirement go away?","This is intended to fulfil the requirement to transform a CSV file (to RDF, JSON or other!) when there is no additional metadata annotation available … retain this requirement"
,R-IndependentMetadataPublication,Ability to publish metadata independently from the tabular data resource it describes,New,New,New
,R-SpecificationOfPropertyValuePairForEachRow,Ability to define a property-value pair for inclusion in each row,New,New,New
,R-ConditionalProcessingBasedOnCellValues,Ability to apply conditional processing based on the value of a specific cell,New,New,New
,R-CommentLines,"Ability to identify comment lines within a CSV file and skip over them during parsing, format conversion or other processing",New,New,New
3.2.3 Non-functional requirements,R-ZeroEditAdditionOfSupplementaryMetadata,Ability to add supplementary metadata to an existing CSV file without requiring modification of that file,See above comments,Recommend Acceptance,"Retain this requirement - but include a note that ""as a result of being able to add supplementary metadata without modification of the original CSV file, those CSV files will continue to be compatible with existing tooling"""
3.2.4 Data model requirements,R-CellMicrosyntax,Ability to parse internal data structure within a cell value,"This requirement regards the possibility to define internal structures of cells (i.e., additional separators, etc.). It is important, in my opinion, and should be covered also by the tabular data model. ",Recommend Acceptance,Agree.
,R-NonStandardFieldDelimiter,Ability to parse tabular data with field delimiters other than comma,"Also this requirement could covered by R-WellFormedCsvCheck, by the delimiter parameter.",Agree with Davide.  Recommend removing.,Agree.
,R-PrimaryKey,Ability to determine the primary key for entities described within a CSV file,*,Recommend Acceptance,Accept
,R-ForeignKeyReferences,Ability to cross reference between CSV files,"* explicit dependency with R-LinksToExternallyManagedDefinitions,  R-AssociationOfCodeValuesWithExternalDefinitions and R-ExternalDataDefinitionResource",Recommend Acceptance,Accept
,R-AnnotationAndSupplementaryInfo,Ability to add annotation and supplementary information to CSV file,All starred (*) requirements could be considered as sub-requirements of this requirement.,Recommend Acceptance,Sub-requirements would be OK - but then a sub-requirement is still a requirement! I'd be concerned about making the requirement scope too broad so as the relationship to the motivating use case becomes meaningless. Would be happy for the starred (*) requirements to be specified as dependencies of this requirement.
