Category,Requirement Name,Definition,Davide's Comments,Eric's Comments,Jeremy's Comments
4.2.1 Requirements relating to parsing of CSV,R-WellFormedCsvCheck,Ability to determine that a CSV is syntactically well formed,"This requires the CSV file to adhere to the tabular data format defined by Jeni et al. 
I think that this is a crucial requirement, and that is should be accepted. I only wonder whether this might be too strict: what if that format is too strict with respect to an existing CSV file? Should that existing CSV file be just considered as non-conformant?",Recommend Acceptance,Agree.
,R-MultipleHeadingRows,"Ability to handle headings spread across multiple initial rows, as well as to distinguish between single column headings and file headings.","Related to the requirement above, the header column count andheader row count parameters of the tabular data format should fit this need, so I propose to merge these requirements with the first one (R-WellFormedCsvCheck), unless these really need to be treated separately.",Recommend Acceptance,Agree with merge.
,R-HeadingColumns,Ability to handle columns as row headers.,See above comments,Recommend Acceptance,Agree with merge.
,R-TableNormalization,Ability to normalize data that is not in normal form and possibly vice-versa.,"I'm dubious about this requirement. It is important to be able to normalize/denormalize tables, and to find correspondences between normalized and denormalized tables. However, I wonder whether this is a requirement of the CSV itself or, rather, of the software demanded to handle it.","This requirement is referenced in 3.13 Use Case #13 - Representing Entities and Facts Extracted From Text.  I recommend the requirement name changed to ""R-TableRowsWithNullCellValues"".  I also recommend the definition as ""Ability to treat tables with irregular numbers of cells as appended with null values""","I think that this(use case #13) is an example where we have a ""not well-formed"" CSV file that needs to be ""normalised"" such that it is well-formed before any transformation can be applied. Personally, I think that the requirement itself is valid (e.g. the conversion to a well-formed CSV) - but, as Davide says, that this is something that is outside the scope of ""CSV"" itself."
,R-CellValueMicroSyntax,Ability to parse internal data structure within a cell value,"This requirement regards the possibility to define internal structures of cells (i.e., additional separators, etc.). It is important, in my opinion, and should be covered also by the tabular data model. ",Recommend Acceptance,Agree.
,R-NonStandardFieldDelimiter,Ability to parse tabular data with field delimiters other than comma,"Also this requirement could covered by R-WellFormedCsvCheck, by the delimiter parameter.",Agree with Davide.  Recommend removing.,Agree.
4.2.2 Requirements relating to annotation of CSV,R-PrimaryKey,Ability to determine the primary key for entities described within a CSV file,*,Recommend Acceptance,Accept
,R-ForeignKeyReferences,Ability to cross reference between CSV files,"* explicit dependency with R-LinksToExternallyManagedDefinitions,  R-AssociationOfCodeValuesWithExternalDefinitions and R-ExternalDataDefinitionResource",Recommend Acceptance,Accept
,R-ExternalDataDefinitionResource,Ability to reference a Data Definition Resource defining supplementary metadata external to the CSV file,"* explicit dependency with R-LinksToExternallyManagedDefinitions,  R-AssociationOfCodeValuesWithExternalDefinitions and R-ForeignKeyReferences",Recommend Acceptance,Accept
,R-AnnotationAndSupplementaryInfo,Ability to add annotation and supplementary information to CSV file,All starred (*) requirements could be considered as sub-requirements of this requirement.,Recommend Acceptance,Sub-requirements would be OK - but then a sub-requirement is still a requirement! I'd be concerned about making the requirement scope too broad so as the relationship to the motivating use case becomes meaningless. Would be happy for the starred (*) requirements to be specified as dependencies of this requirement.
